,Unnamed: 0,Line,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_6,Keyword_7,Keyword_8,Keyword_9,Keyword_10
36,37,36,Microbiological,Gabbro unit,Continuous contact,Harzburgite,40-50 cm,Mineral composition,Geology,Plate tectonics,Geochemistry,Microbial ecology
37,38,37,Carb veins,Serp veins,Gabbroic dykes,Subvertical,Green serp,Offset,Dip,Altered gabbroic dykes,Serpentinisation,Carb veins along black serp
38,39,38,Serpentine,Carb,White Mineral,Diopside,Gabbroic dyke,Irregular,Fragmented,Harz,Intense damage,Altered
39,40,39,Black,Serpentine,Net,Fine,White,Carb veins,Fracturing,Angular clasts,Cataclastic intervals,Altered gabbroic dyke
40,41,40,Black Serpentine Vein Net,Irregular White Carb Veins,Damage,Fractured,Angular Clasts,Open Crack,Serpentine Dunite,Large Magnetite Grains,Altered Gabbroic Dyke,Serpentinized
41,42,41,intense black serp,waxy green core,carb veins,open crack,cataclastic zone,serpentine,talc,lineations,magnetite grains,carbonatised veins
42,43,42,Black serp vein net,Waxy green serp veins,Carb vein net,Vughs,Open crack surface,Lineations,Slikensides,Microcrystalline pyrite mineralisation,Abundant magnetite,Oxidation
43,44,43,Intense,Irregular,Black,Serp Vein Net,Euhedral Calcite,C Axis,Hematite,Damage Zone,Serp Dunite,Carb Veins
44,45,44,Black irregular serp veins,Waxy green and bottle green serp veins,Milky white veins,Carb veins,Cataclastic serpentine zone,Euhedral calcite,Lineation,Altered gabbroic dyke,Serp harz,2-3-mm waxy green serp veins
45,46,45,veins,dyke,crack,altered,gabbroic,harz,serpentine,carb,steep,0
46,47,46,Black serp vein net,Waxy green,Shallow white carb vein net,Cataclastic serp,Fracture pattern,Open cracks,Serp,Carb,Ox,Magnetite
47,48,47,Black,Green,White,Cracks,Calcite,Serp dunite,OpX,Magnetite,Gabbroic dyke,Oxidation
48,49,48,Microbio,Serp,Veins,Black,White,Net,Fine,Harzburgite,Sample,Carb
49,50,49,Veins,Serp,Carb,Fragment,Alteration,Calcite,Pyrite,Harzburgite,Gabbroic Dyke,Ox
50,51,50,Black,veins,network,clasts,serp,carb,horizontal,lineation,dunite,gabbroic
51,52,51,irregular,black,white,green,propagated,carbonate,carb,calcite,magnetite,ox
52,53,52,Underlain,Black serp vein network,Carb veins with vugs,Serp veins in the core,Intensely veins and fractures,Partially serp and ox harzburgite,Altered gabbroic dykes,"Serp, ox, carb",Pyroxenes altered (ox),Exploiting serp veins
53,54,53,Irregular net,Black,Green/white,Serp,Carb,Bottom contact,Fault rock,14 cm,Dipping ~60 deg,Altered
54,55,54,Serp,Carb,Ox,Veins,Cataclasites,Angular fragments,Milky mineral,Fine grain matrix,Magnetite,Fault-related alteration
55,56,55,Careful,Sample,Strong,Crystal,Shape,Preferred,Orientation,Calcite,Fault,"Serp, Carb, Ox"
56,57,56,Caution,Preferred orientation,Serp vein network,Carb veins,Euhedral calcite,Lineation,Sulfaides,Magnetite,Dunite,Bulk rock
57,58,57,Irregular network,"Black, green, and white",Serp vein,White carb veins,Intensely fractured,Gouge and/or cataclasite,Competent rock,Black serp dunite,Smell of sulphur,Bulk rock and vein
58,59,58,fault gauge,black,fine-grained,comminuted,friable,wet,serp dunite,px,magnetite,sulphur smell
59,60,59,fault gauge,black,comminuted,friable,microbi sample,serp dunite,px,magnetite,sulphur smell,fault related
60,61,60,fault gauge,black,comminuted,friable,white crystals,serp dunite,possibly px,magnetite,sulphur smell,fault related
61,62,61,non-visible,fine-grained,intensely comminuted,friable,Microbio Sample,Black,Serp Dunite,px,magnetite,fault-related
62,63,62,Intense black serp veins,Green serp,Intense white serp,Carb vein net,Brecciation,Cataclasis,White swelling mineral,Serp harz,Magnetite,Fault-related
63,64,63,Intense,Black,Green,White,Carb vein net,Brecciation,Cataclasis,Swelling mineral,Serp harz,Fault-related
64,65,64,Serp veins,Black with green,White serp,Carb vein,Net brecciation,Cataclasis,White swelling mineral,Serp harz,Magnetite,Fault-related
65,66,65,Intense black serp veins,Green serp,Intense white serp,Carb vein net,Brecciation,Cataclasis,White swelling mineral,Serp harz,Magnetite,Fault-related
66,67,66,Serpentine,White,Carb,Brecciation,Cataclasis,Gypsum,Talc,Fault-related,Magnetite,Px
67,68,67,Black veins,Green veins,White serpentine,Carb vein net,Brecciation,Cataclasis,White swelling mineral,Shear surfaces,Open cracks,Magnetite
68,69,68,Serpentine,Veins,Brecciation,Magnetite,Sulphur,Fault,Black,Green,White,Clasts
69,70,69,Intense black serp veins,Green serp,Intense white serp,Carb vein net brecciation,Clasts,Serp harz,Magnetite,Smell of sulfur,Fault-related,Minor carb
70,71,70,Black serp vein,Dunitic fragments,White carb veins,Fragmented-breccia,Angular clasts,Serp dunite,Gabbroic dyke serp,Minor carb,Network,Fine
71,72,71,Black serp vein,Waxy green serp veins,Carbonate veins,Open cracks,Euhedral calcite,Hematite,Lineation,Serp dunite,Magnetite,Oxidation
72,73,72,Black serp vein net,white carb,breccia,angular clasts,crack,cataclastic,serp dunite,gabbroic dyke,darker zone,bulk and vein
73,74,73,black serp vein,waxy green serp veins,carbonate vein,open cracks,brecciated,swelling mineral,gypsum,talc,serp dunite,bulk serp
74,75,74,Black,Serpentine,Vein,Carb,Oxidation,Green,Intense,Horizontal,Harburgite,Opx
75,76,75,Black serp vein net,Waxy green subversion,Shallow white serp and carb vein net,Fragmentation,Cataclastic serp,Fracture pattern,High vein intensity,Serp dunite,Ox in open cracks,Carb in veins
76,77,76,Black,serpentine,magnetite,angular,dyke,fragments,carb,dunite,gabbroic,altered
77,78,77,Black serp veins,White and green serp veins,Carb veins,Veining intensity,Euhedral calcite,Pyrite,Sub-horizontal cracks,Serp harzburgite,Altered opx,Bulk carb
78,79,78,Black,Serp,Vein,Network,White,Carb,Sub-horizontal,Lineation,Magnetite,Ox
79,80,79,Black serp veins,White serp veins,Carb vein network,Thickness (0.3 to 1.5 cm),Sub-horizontal,Calcite and yellow-orange,Fragmented into angular clasts,Abundant magnetite grains,Altered gabbroic dyke,"Serp, ox, carb"
80,81,80,Serp,Cataclasites,Angular fragments,White mineral,Diop,Fine grain matrix,Carbonate veins,Dunite/harz,Magnetite,"Serp, ox, carb"
81,82,81,irregular,serpentinization,carbonate veins,fragmented,gabbroic dykes,ox,bulk,sub-vertical,angular clasts,serp veins
82,83,82,Black serp vein network,Green and black serpentine veins,Abundant magnetite,Fine grained fault gauge,Intensely comminuted,Friable,Fragmented blocks,Serp dunite,Sulphur smell,Minor carb
83,84,83,Black,white,serpentine,veins,magnetite,fault,fragmented,dunite,sulphur,bulk rock
84,85,84,serp,oxides,sulphur,magnetite,rocks,fragments,veins,clasts,angular,heterogeneous
85,86,85,Green-white serp veins,Carb vein,Vugs,Rim,>60 degrees dip,Altered,Microcristallized gabbroic dyke,12-13 cm thick,Gabbroic dyke,Associated
86,87,86,Black serpentine,Carb veins,Green serpentine veins,White serpentine veins,Fine-grained fault gauge ,Dunite,Magnetite,Sulphur,Bulk rock,Minor
87,88,87,Irregular,Fine,White,Serp,Black,Green,Glassy,Lineation,Dunite,Serpentinized
88,89,88,irregular,serpentine veins,white-grey network,magnetite,carbonation,crack,dunite,dip,black/green,0
89,90,89,regular,fine,white,serp veinlet network,black,green,serp veins,microbiology sample,black serp dunite,magnetite-rich
90,91,90,Irregular,Fine,White,Black,Serp vein,Dunite,Magnetite,Minor carb,Open crack,Bottom
91,92,91,Irregular,Serpentine,Veins,Black and green,Coalescence,Sigmoidal,Mud,Dunite,Magnetite,Cracks
92,93,92,Irregular,Fine,Serpentine,Veins,Black,Dunite,Magnetite,Gabbroic,Altered,Crack
93,94,93,Carb veins,Gabbroic dyke,Fine white,Crosscutting,Sub-horizontal,60 degrees dip,Altered,Coarse grain,2 to 7 cm,Minor carb
94,95,94,Irregular,Fine,White,Black,Serp,Magnetite,Minor,Carbonates,Open crack,Rich
95,96,95,Black,Green,White,Serpentine veins,Gabbroic dyke,Sub-horizontal,Sub-vertical,Altered micro-grains,Halo,Alteration
96,97,96,Irregular,serpentine,veinlets,black-green,carb,crystal,gabbroic dyke,magnetite,coalescence,open crack
97,98,97,Irregular,Fine,White,Black,Serpentine veinlets,Crosscutting,Discontinuous,Magnetite,Open crack,Geological formation
98,99,98,fine,white,green,serp veins,crosscutting,perpendicularly,gabbroic dyke,altered,coarse grain,dyke
99,100,99,irregular,fine,white,black,serpentine veins,crystals,vugs,green veins,coalescence,magnetite
100,101,100,Irregular,Fine,White,Black,Serp,Waxy,Propagating,Cross-cutting,Magnetite,Oxidation
101,102,101,Irregular,Fine,White and black,Serpentinite,Veinlet,Discontinuous,Perpendicular,Carb,Open cracks,Magnetite
102,103,102,irregular,veinlet network,black green serp,carbonate,waxy green,faint lineation,perpendicular white,dunite,magnetite,bulk/vein
103,104,103,Disparate,White,Serp veins,Chrysotile,Black,Serp network,Fine,Dunite,Magnetite,Carb
104,105,104,Disparate,White,Serp veins,Chrysotile,Microbio,Black,Dunite,Magnetite,Bulk,Vein
105,106,105,Irregular,Fine,White,Black,Waxi green,Cross-cutting,Open crack,Magnetite,Bulk and vein,Minor carb
106,107,106,Irregular,Fine,White/black,Serpentine,Carbonate,Green,Magnetite,Cross-cutting,Alteration,Minor
107,108,107,White carb veins,Altered gabbroic dyke,Micro to coarse grains,Minor carb in veins,Oxidation of minerals,65 to 71 cm,Thickness,Sub-vertical,Alternance,Minor
108,109,108,Veins,Black,White,Altered,Gabbroic,Dyke,Micro-grains,Coarse-grains,Minor,Sub-vertical
109,110,109,serpentinization,veins,thin,cross-cutting,dunite,magnetite,carbonate,crack,subvertical,wavy
110,111,110,Irregular,Veinlets,Waxy green,Gabbroic dykes,Open crack,Sub-horizontal,Serp dunite,Magnetite,Coarse grained,Carb veins
111,112,111,Irregular,White,Black,Vein network,Discontinuous,Waxy green,Crack,Carb rim,Dip,Magnetite
112,113,112,Veining,Fault,Serpentine,Network,Green veins,Carbonate,Lineation,Slickensides,Magnetite,Gabbroic dyke
113,114,113,Fine,Black,White,Vein network,Serp vein,Coalescence,Sigmoidal veinlets,Magnetite,Carbonation,Bulk
114,115,114,Microbio,Sample,Black,Serp,Dunite,Magnetite,White,Veins,Microorganisms,Mineralization
115,116,115,White veins,Thickness,Gabbroic texture,Alteration halo,Green serp veinlets,Wavy,Serpentine,Black serp dunite,Magnetite,Bulk and veins
116,117,116,Vein,Serpentine,Crack,Gabbroic,Vuggy,Homogeneous,Dunite,Magnetite,Bulk,Green
117,118,117,White,Soapy,Serpentine veins,Magnetite,Crystalline,Dykes,Fractures,Dunite,Alteration halo,Gabbroic
118,119,118,serp veins,alteration halos,gabbroic dyke,black serp dunite,magnetite,micro grains,wavy waxy green veinlets,parallel network,cross-cutting,bulk serp
119,120,119,Irregular,Black and white,Fine vein network,Green and white,Serp and carb vein,Wavy/waxy,Gabbroic dyke,Coalescence,Serp crystal,Minor carb
120,121,120,White,Black,Green,Serp veins,Gabbroic dyke,Altered,Micro grained,Ox,Carb,Voids
121,122,121,Irregular,White,Serpentine veins,Waxy,Green rim,Gabbroic dyke,Halo,Black serpentine dunite,Magnetite,Alteration
122,123,122,Vein,Serp,Network,Alteration,Green,White,Coalescence,Black,Oxidation,Gabbroic
123,124,123,Serpentine,Veins,Microbiology,Black serp dunite,Gabbroic dykes,Bulk,Alteration,Halos,Network,Sample
124,125,124,White veinlet network,Green veinlet network,Crosscutting,Gabbroic dyke,Dipping 60 deg,Black serp dunite,Gabbroic dykes,1-4mm thick,Serp in bulk and veins,Halo
125,126,125,Irregular,White,Sub-horizontal,2mm,V-shape,Black,Green,70 degrees,Magnetite,Alteration halo
126,127,126,irregular,fine,white,serpentine,vein,network,carbonate,sub-horizontal,magnetite,gabbroic
127,128,127,Irregular,Up to 5 mm thick,Carb and serp vein,majority sub-vertical,Broken part,Powdery appearance,Micro grained gabbroic dyke,Pegmatitic textures,Altered gabbroic dike,Carbonate filling vugs
128,129,128,Irregular,White serp network,Veinlets,Dip angle,Open cracks,Black serp dunite,Magnetite,Bulk serp,Vein serp,Thickness
129,130,129,serp veins,green network,gabbroic dykes,cataclastic,fine white veins,magnetite,alteration halo,bulk serp,ox in gabbroic dyke,plagio alteration
130,131,130,White veins,Pull-apart structure,Altered gabbro,Serpentine alteration,Low temp alteration,Pegmatitic deformation,Cataclastic deformation,Medium grain gabbro,Multiple injections,Grain size
131,132,131,Fibe white,Serp vein,Irregular,Mineral composition,Gabbroic dike,Cataclastic deformation,Dunite,Magnetite,Altered,Contact
132,133,132,Serp,Gabbroic dyke,Vein,Alteration,Wavy,Green,Discontinuous,Sub-vertical,Serpentinized,Magnetite
133,134,133,veins,serpentine,gabbroic dykes,black,sub-horizontal,sub-vertical,dunite,magnetite,alteration,amphibole
134,135,134,Fine,Irregular,Serp,V shape,Cataclastic fault,Black serpentinized dunite,Bulk and veins,Sulfides,Oxidation,38 cm to 55 cm
135,136,135,Fine,Irregular,White,Serp,Vein,Density,Zone,Cataclastic,Magnetite,Dunite
136,137,136,Fine,Serpentine,Gabbroic dyke,Coalescence,Sigmoidal veinlets,Black serpentinized dunite,Magnetite,Inclined gabbroic dyke,Completely altered,Horizontal fracture
137,138,137,Fine,Irregular,Serp veins,Carb vein,Cataclastic fault,Black mud,Angular clasts,Euhedral calcite,Serpentinized dunite,Magnetite
138,139,138,Serp veins,White-grey,Carb fill voids,Open cracks,White minerals,Angular pieces,Euhedral calcite crystal,Black serpentinized dunite,Magnetite,Gabbroic dyke
139,140,139,white,grey,serpentine veins,calcite crystal,coalescence,sigmoidal veinlets,sub-horizontal,dunite,magnetite,carbonate filling
140,141,140,Fine,mm thick,white-grey,serp veins,cataclastic,sigmoidal,veinlets,MICROBIO SAMPLE,magnetite,bulk
141,142,141,Serp,Veins,Thickness,White,Crystals,Green,Gabbroic dyke,Voids,Magnetite,Bulk
142,143,142,Serpentine,Calcite,Veins,Cataclastic network,Zig zag veins,Dunite,Oxidation,Euhedral crystals,Gabbroic dyke,Open cracks
143,144,143,Serpentine,Veins,Gabbroic dykes,Carbonate veins,Lineation feature,Calcite,Dunite,Magnetite,Altered gabbroic dyke,Oxidation
144,145,144,Irregular,Fine,<1mm thick,White,Serpentine,Gabbro,Carbonate,Deformed,Pegmatitic,Altered
145,146,145,Fine <1 mm thick,White serp veins,Dark green serp mantling,Light green serp,Vein network,Propagate,Gabroic dykes,Cataclastic vein network,High density veins,Serp in bulk
146,147,146,White,grey,serp,fine vein network,wavy green,up to 6 mm,cataclastic,sigmoidal veinlets,dunite,magnetite
147,148,147,Veinlets,Irregular network,Vein density,Gabbroic dyke,Catalastic deformation,Swarm of veins,Serpentinized dunite,Magnetite,Bulkrock,Perpendicular
148,149,148,Steeply incline,Green-grey,Serp,Veins,52 and 66 cm,Serpentinized dunite,Magnetite,Homogeneous,Fine network,Greenish grey veinlets
149,150,149,Altered gabbroic veins,Light green serpentine veins,Talc alteration,Perpendicular cutting,Fracturing,Serpentinized dunite,Magnetite,Vertical and semi-vertical serp veinlets,Serp in bulk rock and veins,White altered plag
150,151,150,irregular network,white,light green,veinlets,cataclastic deformation,serpentinized dunite,magnetite,bulk,veins,0
151,152,151,Vein intensity,Downsection,Serpentinized dunite,Magnetite,Gabbroic dyke,Alteration halo,Bulk rock,Intense alteration,White veinlets,Thin and wavy
152,153,152,Veins,Gabbro,Dunite,Igneous Contact,Serpentinized,Magnetite,Alteration,Gradual Change,Black,Grey Green
153,154,153,Cross-cutting features,Deformation style,Cataclastic deformation,Metagabbro,Variable grain size,Intense veining,Pervasive alteration,Milky white mineral,Contact with dunite,Serpentine or chlorite rich
154,155,154,Extensive,Fractured,Cataclastically deformed,Intrusion,Serpentinized dunite,Altered,Metagabbro,Gabbro,Interfingered,Grey/white alteration
155,156,155,Irregular network,White to grey veinlets,Mineral infilling,Cataclastic deformation,Density increase,Serpentinized dunite,Magnetite,Lighter colour alteration,Contact to metagabbro,Alteration halo
156,157,156,Irregular network,White to grey veinlets,Mineral infilling,Alteration halo,Wavy white veins,Serpentinized dunite,Magnetite,Gabbroic dyke,Pervasive serpentinization,Relict gabbroic texture
157,158,157,Fine,Serpentine,Vein,Green,Gabbroic dyke,High density,Zig-zag,Black dunite,Magnetite,Oxidation increase
158,159,158,0.2 cm,white veins,clay minerals,zeosite,albite,fractures,deformation,powdery,serpentine,alteration
159,160,159,Fine,< 1mm thick,White veins,Wavy,Waxy green veinlet,Gabbroic dyke,Black serp dunite,Magnetite,Serp in bulk,Vein
160,161,160,Fine,Irregular,Serpentine vein,Wavy,Waxy,Green vein,Gabbroic dyke,Crosscutting,Alteration halo,Sulfides
161,162,161,Irregular,Fine,White,Vein network,High density,Black,Dunite,Magnetite,Alteration,Serp
162,163,162,irregular,fine,white,serpentine,vein network,microbiology,sample,dunite,magnetite,bulk
163,164,163,Irregular,White serpentine veins,Gabbroic dyke,Black serpentine veins,Polygonal fractures,Dunite,Magnetite,Coarse grains,Subvertical branching,Gabbroic vein
164,165,164,Irregular network,White veinlets,Cross-cutting veins,Vein fracture network,Serpentinized dunite,Magnetite,Harzburgitic domains,Disperse sulphides,Gabbroic veins,Serp in bulk and veins
165,166,165,Inclined Vein Network,Domains,90 Degrees,Slickenslides,Open Crack,Serpentinitized Dunite,Px,Coarse Grained,Gabbroic Dyke,Bulk and Veins
166,167,166,Inclined vein network,Domain size,Zig-zag appearance,Crosscutting,Gabbroic dyke,Slickensides,Serpentinized dunite,Pegmatitic gabbroic dyke,Microgabbro dyke,Alteration
167,168,167,Gabbro dyke,White serp veinlets,Calcite,Dunite wall rock,Plag altered,Px altered,Green,Chlorite,Amph,Serp in dunitic wall rock
168,169,168,Irregular,Serpentine veins,Fracture,Gabbroic dykes,Magnetite,Alteration,Thickness,Color,Orientation,Serpentinization
169,170,169,Inclined 60 degrees,White serp veins,High density,Wavy green serp concentrate,Gabbro,Dunite,Altered gabbro,Troctolite,Plagio altered,Pink alteration
170,171,170,60 degrees dip,Fine,< 1mm thick,White veins,Larger white veins,Fragmented,Slickensides,Altered gabbro,Impregnation,Plagio altered
171,172,171,fine,white veins,impregnation zone,serp vein,dunite,black,net,magnetite,troctolite,bulk
172,173,172,Fine veins,white,thickness,deformation,sheared zone,cataclastic zone,serp clasts,gabbroic dyke,alteration,mineral composition
173,174,173,Irregular,Fine,White serp veins,Gabbroic branches,Black veins network,Lineations,Slickensides,Serp dunite rich in magnetite,Oxidation,Bulk serp
174,175,174,Wavy,Green,White,Serp,Ca-Si,Veins,Gabbroic,Dunite,Alterated,Plagio
175,176,175,White,Serp veins,Incline,Open fracture,Wavy/waxy,Green,Powdery,Dunite,Magnetite,Gabbroic dyke
176,177,176,Fine,White veins,Ca-Si,Gabbroic duke,Dunite,Deformed,Subvertical,Plagio,Altered,Serpentinized
177,178,177,white,fine,serp veins,wavy,green,gabbroic dyke,serp dunite,magnetite,altered,bulk
178,179,178,Intensity,Fine veins,White,Green,Serp veins,Bigger veins,Texture,Fracture,Magnetite,Harzburgitic zone
179,180,179,Irregular,Fine,Serpentine veins,Frankenstein veins,Microbio sample,Black,Dunite rich in magnetite,Serp in bulk,Veins,Network
180,181,180,irregular,fine,serpentine veins,gabbroic dykes,lineations,slickensides,black serp dunite,magnetite,alteration,intense serp vein network
181,182,181,Serpentine veins,Green and white,Coalescence,Thin,Dense,Dunite,Magnetite,Altered gabbro,Crosscutting dykes,Mineral alterations
182,183,182,Irregular fine,Serp veins network,Coalescence,Ca-Si,Gabbroic dyke,Black serp dunite,Magnetite,Harzburgitic zone,Altered gabbroic dykes,Alteration zone
183,184,183,"White veins,","Ca-Si,","Gabbroic dyke,","Dunite unit,","Coarse grain,","Plagio alteration,","Px alteration,","Chl alteration,","Amph alteration,",Alteration halo
184,185,184,fine white vein network,calcite rare,60-degree dip,crosscutting veins,gabbroic dykes,subvertical vein,dunite sharp contact,alteration of gabbro,white minerals,amph or chl
185,186,185,irregular,fine,white,green,black,serpentine,veins,alteration halo,magnetite,gabbroic dyke
186,187,186,Fine,Serpentine,Veins,Crack,Lineation,Black,Dunite,Magnetite,Sulfides,Homogeneous
187,188,187,Fine,<1 mm,White,Serp,0 to 6,18 cm,Dense,Harzburgite,Opx,Altered
188,189,188,High density,Fine,< 2mm thick,Wavy white,propagating,Deformed,Sheared,Clasts,Altered,Gabbroic dyke
189,190,189,Minor fine,White serp veins,2-3 mm thick,Green core,Ca-Si,Altered gabbroic dyke,Harzburgite,Opx,Carb,Vugs
190,191,190,Serpentinite,Veins,Alteration,Harzburgitic clasts,OpX,Gabbroic dykes,Green alteration zone,Pyroxenite,Diopsidite,Bulk
191,192,191,Irregular vein network,White serp veins,Black serp dunite,Green alteration zone,Deformed gabbroic patch,Coalescence,Magnetite,Microgabbroic patch,Alteration halo,Serp in bulk
192,193,192,Serp veins,Green and white veins,Ca-Si,Gabbroic dykes,Harzburgite,Black serp dunite,Magnetite,Coarse grains,Alteration halo,Bulk serp
193,194,193,Irregular,Fine,Serpentine,Veins,Green,Frankenstein,Net,Cataclastic,Harzburgite,Alteration
194,195,194,Irregular,Fine,Serpentine veins,Green veins,Gabbroic dykes,Wavy waxy,Cataclastic patches,Serp harzburgite,Px rich zones,Altered gabbroic dykes
195,196,195,Irregular,Fine,White,Serp veins,Green-grey,Open fracture,Alteration halo,Cataclastic veins,Black serp dunite,Magnetite
196,197,196,Irregular,Fine,Serpentine,Veins,Cross-cutting,Gabroic dyke,Coalescence,Cataclastic zone,Dunite,Harzburgitic zone
197,198,197,Irregular,Fine,White,Serpentine,Gabroic dyke,Cross-cutting,Coalescence,Lineations,Slickensides,Magnetite
198,199,198,Irregular,Fine,Serp veins,Gabroic dyke,Coalescence,Green magnetite-mantled,Lineations,Slickensides,Altered,Halo
199,200,199,Irregular fine veins,White and black serp veins,Coalescence,Sub vertical black serp veins,Alteration halo,Lineations,Slickensides,Black serp altered dunite,Px in the alteration halo,Bulk and vein serp
200,201,200,Veins,Striations,Gabbroic dyke,Serpentinized dunite,Magnetite,Px,Coarse-grained,Leucocratic dyke,Plag,Alteration
201,202,201,Serpentine,Dunite,Microbiology,Bulk,Veins,White,Short,Discontinuous,Patches,Alteration
202,203,202,soft white mineral,serpentine,veins,dunite,gabbro,cataclastic deformation,sheared,microgabbo,alteration,plag
203,204,203,Serpentine,Veinlets,Grey green,Composite texture,Vuggy,Inclined vein sets,Sheared domain,Brittle deformation,Gabbroic veins,Alteration halos
204,205,204,Irregular network,Fine,Serpentinization,Gabbro,Composite veins,Square pattern,Vuggy appearance,Altered dykes,Lineation,Milky white minerals
